L0 BA -1.460 0.8889 9.8472
L1 BB -3.460 0.8866 9.8447
L2 BC -9.460 0.8904 9.8478
L3 BD -15.46 0.8871 9.8465
L4 BE -17.46 0.8886 9.8458
L5 BH -19.46 0.8873 9.8460
L6 BG -21.46 0.8884 9.8466
